SuperWEB2(tm)

"Census 2022-Person-2Cv1"
"Scotland's Census 2022 - National Records of Scotland Table UV201 - Ethnic group  All people "
"Intermediate Zone - Data Zone 2011 by Ethnic Group by Individuals"
"Counting: Individuals"

Filters:
"Summation Options","Individuals"

"Ethnic Group","All People","White: Total","White: White Scottish","White: Other White British","White: White Irish","White: Gypsy/ Traveller","White: White Polish","Other White","Mixed or multiple ethnic group","Asian, Asian Scottish or Asian British: Total","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian","African: Total","African: African, African Scottish or African British","African: Other African","Caribbean or Black: Total","Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British","Caribbean or Black: Other Caribbean or Black","Other ethnic groups: Total","Other ethnic groups: Arab, Arab Scottish or Arab British","Other ethnic groups: Other ethnic group",
"Intermediate Zone - Data Zone 2011",
"S01006642",1365,1118,761,113,39,0,36,166,38,93,10,25,11,28,19,85,7,79,5,0,0,5,29,13,12,
"S01006643",588,466,301,46,9,1,27,83,16,36,4,17,1,8,6,45,0,45,3,2,0,2,22,7,15,
"S01006644",1073,866,540,97,19,0,73,137,17,65,15,11,6,19,17,88,1,87,2,0,0,2,32,21,11,
"S01006645",578,474,315,32,3,1,48,75,5,62,9,30,9,10,5,32,3,25,2,2,0,0,3,1,2,
"S01006646",1069,790,553,86,17,0,28,110,33,117,6,50,14,19,26,95,6,89,0,0,0,0,32,7,25,
"S01006647",600,471,314,28,17,0,38,73,18,65,6,29,1,15,14,25,1,24,1,0,0,1,20,10,10,
"S01006648",1288,926,645,90,21,3,32,136,21,132,8,55,22,19,29,164,10,153,9,6,0,5,36,15,21,
"S01006649",973,722,467,57,15,0,86,95,26,112,18,39,11,24,20,98,2,96,4,2,0,3,11,2,9,
"S01006650",668,497,287,61,6,0,39,105,36,55,10,27,1,15,2,58,2,56,1,1,0,0,22,14,8,
"S01006651",863,602,408,63,9,0,26,96,17,85,5,51,7,12,13,131,9,126,5,1,0,6,23,8,15,
"S01006652",982,738,469,105,21,1,39,107,32,98,4,29,5,28,25,96,3,90,6,0,0,6,17,9,6,
"S01006653",581,445,293,68,18,0,24,43,16,64,11,22,2,10,14,35,4,35,3,0,0,3,21,9,11,
"S01006654",752,653,483,51,7,0,57,57,22,34,0,8,7,13,12,26,0,25,1,0,0,1,13,6,6,
"S01006655",1053,791,592,73,17,0,12,95,26,159,19,81,24,16,14,32,0,32,1,0,0,1,46,35,11,
"S01006656",882,642,446,68,11,0,28,89,28,114,17,36,17,23,17,62,8,54,1,0,0,1,35,17,16,
"S01006657",439,340,225,36,6,0,31,43,24,40,0,21,2,2,15,17,0,17,5,2,0,3,16,7,10,
"S01006658",1419,1040,583,92,31,2,136,199,31,165,47,26,49,21,25,125,4,121,2,0,0,2,56,29,24,
"S01006659",617,523,349,54,18,0,16,86,13,44,4,24,1,4,12,15,0,18,3,3,0,0,15,8,7,
"S01006660",498,354,173,25,3,4,67,82,7,108,34,17,21,24,12,21,8,13,0,0,0,0,11,5,3,
"S01006661",473,383,261,46,10,0,21,45,8,59,6,15,7,23,12,13,0,12,3,1,0,2,7,1,6,
"S01006662",704,543,316,57,11,1,81,81,19,68,13,24,15,6,10,41,2,36,7,2,0,5,26,10,16,
"S01006663",488,407,236,76,6,2,9,81,12,36,0,8,5,6,12,24,0,24,1,0,0,1,12,4,8,
"S01006664",435,305,181,37,14,1,9,62,7,53,3,20,7,17,3,48,4,44,2,1,0,2,17,3,14,
"S01006665",884,682,421,95,21,0,37,108,29,72,10,33,5,14,10,71,23,52,4,2,0,2,30,14,16,
"S01006666",1053,959,586,83,8,2,182,102,22,32,8,13,1,7,4,28,2,26,3,1,0,0,9,6,3,
"S01006667",666,567,372,29,4,0,104,58,10,44,8,10,2,16,5,28,2,26,1,0,0,1,14,2,8,
"S01006668",829,602,398,77,16,1,23,91,27,88,12,30,8,31,7,70,2,71,6,0,0,6,33,22,11,
"S01006669",944,716,468,105,12,0,33,98,24,101,17,22,10,26,28,70,2,68,4,1,0,2,29,16,13,
"S01006670",1341,1079,761,117,35,0,42,122,27,97,3,55,3,13,26,92,0,92,11,1,0,10,34,15,17,
"S01006671",1990,1572,934,299,47,1,44,249,68,179,41,70,6,36,29,127,1,127,7,1,0,6,32,16,20,
"S01006672",702,546,331,35,4,0,90,86,29,57,8,24,5,14,5,50,4,45,2,0,0,2,19,16,3,
"S01006673",754,618,393,62,16,1,84,58,15,43,5,24,5,3,7,59,8,50,0,0,0,0,15,9,11,
"S01006674",757,699,433,43,0,3,137,81,9,25,5,8,0,2,10,15,3,10,1,0,0,1,7,3,7,
"S01006675",782,710,374,53,5,0,197,81,19,20,9,7,0,1,5,26,1,24,0,0,0,0,5,1,4,
"S01006676",588,527,312,30,5,0,115,67,8,40,0,17,2,7,14,8,0,8,3,1,0,2,4,0,4,
"S01006677",1001,858,579,34,6,2,157,81,4,40,1,12,3,18,7,70,9,61,2,0,0,2,27,0,25,
"S01006678",1536,1359,875,81,5,2,265,126,27,74,6,4,18,15,28,45,10,39,4,0,0,4,25,12,10,
"S01006679",560,517,426,36,1,0,37,13,7,17,0,4,8,1,7,13,0,13,1,1,0,0,2,0,2,
"S01006680",875,779,390,36,3,0,287,63,21,40,6,10,11,11,5,29,0,28,4,0,0,1,4,2,1,
"S01006681",833,751,634,40,0,0,44,29,17,24,2,11,2,7,3,34,2,33,1,0,0,1,5,0,5,
"S01006682",877,726,411,26,1,1,185,106,24,66,1,29,23,7,7,37,1,36,4,0,0,4,15,11,4,
"S01006683",866,702,410,52,2,6,150,82,16,55,17,10,10,5,13,61,12,46,1,0,1,0,34,23,11,
"S01006684",637,566,378,44,5,0,69,68,9,29,9,6,4,6,4,24,1,23,1,0,0,1,10,3,7,
"S01006685",535,476,364,29,4,5,37,37,9,24,0,11,0,4,9,21,3,20,1,0,0,1,9,1,8,
"S01006686",465,408,338,24,0,0,17,23,10,29,5,14,0,3,7,11,4,7,1,0,0,1,6,6,0,
"S01006687",717,647,547,39,1,0,13,46,19,31,11,9,0,2,9,20,4,18,2,0,2,0,3,2,2,
"S01006688",852,760,671,34,5,7,10,32,11,52,9,15,1,12,15,24,0,24,4,0,0,4,2,2,1,
"S01006689",1097,719,536,73,13,3,23,71,43,203,29,75,26,35,38,51,8,43,0,0,0,0,81,61,21,
"S01006690",569,445,347,28,6,12,14,37,15,61,7,22,4,12,16,44,2,40,2,0,0,1,8,2,4,
"S01006691",633,498,379,38,7,6,14,54,12,74,0,17,14,15,28,37,3,27,1,0,0,1,15,12,1,
"S01006692",653,569,454,60,5,2,11,38,26,36,4,20,3,3,6,23,8,12,0,0,0,0,4,4,0,
"S01006693",1016,810,592,68,9,7,74,63,14,82,8,22,20,7,27,79,9,65,4,3,1,0,29,15,14,
"S01006694",876,795,689,23,0,1,52,34,7,54,4,17,6,1,24,13,1,12,1,0,0,1,6,2,4,
"S01006695",695,525,468,26,2,0,22,8,3,134,0,52,9,3,69,14,3,15,8,3,1,5,6,0,6,
"S01006696",735,590,510,23,2,3,34,17,3,104,7,49,16,4,28,32,0,31,3,0,0,3,0,0,0,
"S01006697",759,621,500,33,6,0,46,33,7,91,13,47,4,0,27,30,1,29,1,0,0,1,9,0,9,
